Seção,Exercícios
A.1.1,"1d,1e,1g,1h"
1.2,"1a,1d,2f,2m,2n,2q,3d,3e,3n,5b,5e,6b,6n,7b,7f,8,9,10e,10h,11a,11f,11j,12,13b,13f,13j,15,16,17a,17c,18,19a,19d,20c,22,23b,23d,23f"
1.3,"1f,2d,2f,3c,3m,3n,5b,7c"
1.4,"1a,1c,3,4b,4d"
1.6,"2,3b,8,10"
2.1,"1c,2c,2m,2n,3c,3h,3p,4d,4l,4n,4s,6c,7f,7h,8a,8f,8m,9f,9h,9o,9u,10b,10g,10i,10r,12,13a,13i,13j,14b,14c,14f,15g,15o,15s,15x,17,18b,20a,20e,20f,24,25,32,35,39,41d"
2.2,"1c,1f,1i,2b"
2.3,"1b,2"
2.4,"1a,1c,2a,2f,2g,3b,3e,4b,4e,4f"
3.1,"1d,2d,2f,4d"
3.2,"1a,1d,1f,3,6,8,11,12d,13,16,19,20,24"
3.3,"1o,1s,2c,4a,4e,5f,5h,9,14"
3.4,"1a,1b,1i,1j,2"
3.5,"1c,2a,2c,3a,3c"
3.6,"2,4,6,8"
3.8,"1a,1d,1j,3a"
4.1,"1e,1g,1j,1n"
4.2,"1b,1e,1f,1g,3b,3d,4c,4j,4m,4s,6"
4.3,"1d,1g,1h,8"
4.4,"2,3"
5,"1,2,5,6,7b,14"
6.1,"1e,1f,2g"
6.2,"1c,1h,2b,2f,3d,4d,4e"
6.3,"1a,1d,1e,2,3a,3c"
7.2,"1,4a,4e,4f,5c,6d,6g,14,15,18"
7.3,"1,3,5,6d,9"
7.4,"1,3,4c,5,6b"
7.5,"4,5,7"
7.6,"2,3"
7.7,"1l,1m,3,7a,7g,8,9b,9f,9r,11,12d,12f,14d"
7.8,"1c,1e,2b,3b,3d"
7.9,"1e,1n,6,8c,8d,10,14,"
7.11,"1g,1i,1s,2,4e,4l,4r,5f,5p,5t,6,8,11,13,15a,16d,16i,17,22,23,28,29"
7.12,"1b,1c,1f,1p,3b,3c"
8.1,"1a,1f,3b,3h,7,9,11,12,13,14"
8.2,"1a,1f,1h,2,3,5,6,8a,8d"
7.13,"1,4f,4j,4m,5,6,8,11"
7.14,"1c,4"
7.15,"3,4,7,10,12,15,18,19,"
7.16,"1a,1c,4,6,9,12,15"
7.17,"2b,2c,2g,3a,3b,5,10,14,17,20,25,30,33,34,43"
9.2,"1f,1o,1t,3,4,7,8,9b,14"
9.3,"1b,1f,1l,2b,2f,2l,6,10"
9.4,"1b,1g,1j,1o,3b,3d,4"
9.5,"1,6,10,12,14"
9.6,"1c,1d,1n,1o,5,8,10,14,17,19"
9.7,"1e,1f,6,12"
9.8,"1,4,5"
15.1,"2,7"
15.2,"5"
16.1,"1c,1f,2a,2e"
16.2,"1a,1e,1g,2b,2e,2h,5a,6a,6b"
16.3,"1b,1c,7a,7e"
10.1,"1,3,5,6,8,9c,11b"
10.2,"1c,1f,1j,1q,2a,3a,3e,3p,3s,4,5a,5d,6c,6d,8,10c,10d,10f,11b,11d"
11.5,"4,13,16,19,37,40,42,47,48,50,52,55,58"
11.6,"2,4,5,8,13,16,22,23,26"
Vol 2,""
1.1,"3a,3c"
1.2,"1a,1c,1g"
2.1,"1c,2c,2d"
2.2,"1a,1d,1e,3a,3b,5"
2.3,"2,3"
2.4,"1c,1f,1g,1j,2,3"
Vol 1,""
11.7,"1c,1f,1j,1l,1o,1r,3,4,6b,7a,7d,7i,7l,7n,7q,7s,9"
12.1,"1e,1o,2d,2e,8,10g,"
12.2,"1i,1q,1s,1t,2f,2h,2j,2l,4e,4h,8a,8f,8j,8n,9,10a,10c,10e,10i,10j,10o,10p,10r,10x"
12.3,"1a,1c,1m,1n,1p,2,3,4,7b,7c,12"
12.4,"1b,1c,1e,1i,1m,10,3,4c,4d,4g,4h,4j,4o,5,6a,6e,8,9a,9b,9e,9g,9h,9n,9o"
12.8,"1a,1c,1e,1f,2"
12.9,"1c,1h,2,3b,3d,3e"
12.10,"1a,1d,1e,1f,1j,2g,3a,3c"
12.5,"2,5,7,10,12,16"
12.6,"1b,1e,1j,2,3a,3b"
12.7,"1,5,8"
Vol 2,""
3.1,"1d,1g,1i,1m,1p,2a,2f,2h,5,7,8a,8f"
3.2,"1,4,8,9"
3.3,"1a,1c,3a,3c,5"
3.4,"1b,1c,1d,1h,1j,11,2,3b,3d"
Vol 1,""
13.1,"1a,1d,1g,1j,1m,2"
13.2,"1a,1d,1g,2c,2d"
13.3,"2,3"
13.4,"1a,1d"
13.5,"1b,1c,1e"
13.6,"1b,1c,1e,2"
